cod_sys,nm_sys,Codigo,Descricao,Categoria,Categoria_Aux,Classe,Especialidade,Procedimento,Patologia
1,TASY,203008,"1 DAY ACUVUE MOIST 8,5 -2,50",LC,LC,LC,LC,LC,Eletivos
1,TASY,203012,"1 DAY ACUVUE MOIST 8,5 -3,50",LC,LC,LC,LC,LC,Eletivos
1,TASY,203013,"1 DAY ACUVUE MOIST 8,5 -3,75",LC,LC,LC,LC,LC,LC
1,TASY,203017,"1 DAY ACUVUE MOIST 8,5 -5,00",LC,LC,LC,LC,LC,Eletivos
1,TASY,210902,"1 Day Acuvue Moist Astig 8,50 -1,00 -0,75 x 10°",LC,LC,LC,LC,LC,Eletivos
1,TASY,214991,"1 Day Acuvue Moist Astig 8,50 -1,00 -1,25 x 160°",LC,LC,LC,LC,LC,Eletivos
1,TASY,217132,"1 DAY ACUVUE MOIST ASTIG 8,50 -1,75 -0,75 X 180°",LC,LC,LC,LC,LC,LC
1,TASY,213359,"1 Day Acuvue Moist Astig 8,50 -3,25 -0,75 x 180°",LC,LC,LC,LC,LC,LC
1,TASY,214670,"1 DAY ACUVUE MOIST MULTIFOCAL 8,40 +0,75 +1,25 LOW",LC,LC,LC,LC,LC,LC
1,TASY,73963,Ã“LEO SILICONE 1300 OXANE CST,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,15010003,Aberrometria (Wavefront) Refrativa - Binocular,Exames,Procedimento,Exames,Exames,Aberrometria,Eletivos
1,TASY,15010069,Aberrometria OPD  ( Catarata ) - Binocular,Exames,Procedimento,Exames,Exames,Aberrometria,Eletivos
1,TASY,50130013,Abscesso,Cirurgias,Procedimento,Plastica,Plastica Ocular,Abcesso de Palpebra,Eletivos
1,TASY,30301017,ABSCESSO DE PÁLPEBRA,Cirurgias,Procedimento,Plastica,Plastica Ocular,Abcesso de Palpebra,Eletivos
1,TASY,74435,ACCUGLIDE BLADES ESTERIL (LÂMINA),Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,84640,ÁCIDO DEOXYCHOLATE 1% 2ML,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50010247,Acuidade Visual c/ Laser (P.A.M.),Exames,Procedimento,Exames,Exames,Acuidade Visual com Laser,Eletivos
1,TASY,50010018,ACUIDADE VISUAL COM ,Exames,Procedimento,Exames,Exames,Acuidade Visual com Laser,Eletivos
1,TASY,76550,Acular 5ml Fr,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,1071551,ACUVUE MOIST TORICA (-) 3.75 CIL (-) 1.25 EIXO 170,LC,LC,LC,LC,LC,Eletivos
1,TASY,10711555,ACUVUE OASYS (-) 4.75,LC,LC,LC,LC,LC,Eletivos
1,TASY,10499,ACUVUE OASYS (-) 6.50,LC,LC,LC,LC,LC,Eletivos
1,TASY,212108,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 +2,50",LC,LC,LC,LC,LC,LC
1,TASY,212070,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 -1,75",LC,LC,LC,LC,LC,LC
1,TASY,212071,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 -2,00",LC,LC,LC,LC,LC,LC
1,TASY,212072,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 -2,25",LC,LC,LC,LC,LC,LC
1,TASY,212076,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 -3,25",LC,LC,LC,LC,LC,LC
1,TASY,212088,"ACUVUE OASYS 1 DAY COM HYDRALUXE 8,50 -6,50",LC,LC,LC,LC,LC,LC
1,TASY,210800,"Acuvue Oasys Astig 8,60 0,00 -0,75 x 20°",LC,LC,LC,LC,LC,LC
1,TASY,213317,"ACUVUE OASYS ASTIG 8,60 0,00 -0,75 X 40°",LC,LC,LC,LC,LC,LC
1,TASY,209094,"Acuvue Oasys Astig 8,60 -5,50 -2,75 x 170°",LC,LC,LC,LC,LC,Eletivos
1,TASY,218439,"Acuvue Oasys Astig 8,60 -6,00 -1,75 x 170°",LC,LC,LC,LC,LC,Eletivos
1,TASY,99180107,Admissão E Registro - Hospital Tipo C,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74325,Adrenalina 1ml Amp,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74355,AFRIN 12 HORAS 30ML,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74309,Água p/ Injeção 1000ml,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74305,Água p/ Injeção 10ml,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,86093,ÁGUA PARA INJEÇÃO 250ML,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74434,Agulha 13X3 BD,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74481,AGULHA 13X4.5 BD,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,86095,AGULHA 25X0.7,Cirurgias,Procedimento,Terapia Antiangiogênica,Pequenos Procedimentos,E-Eye,Eletivos
1,TASY,74433,Agulha 25X6 BD,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74463,AGULHA 25X8,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74464,Agulha 30x7,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74462,AGULHA 40X12,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74496,AGULHA 45X13 BD,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,74461,Agulha Hipodérmica 25X7,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med,Mat/Med
1,TASY,50101005,Agulhamento,Cirurgias,Procedimento,Outras Cirurgias,Glaucoma,Agulhamento,Cronico
1,TASY,218527,"Air Optix Astig 8,70 +2,75 -0,75 x 90°",LC,LC,LC,LC,LC,LC
1,TASY,210076,"Air Optix Multifocal 8,60 +0,50 HI",LC,LC,LC,LC,LC,LC
1,TASY,209302,"AIR OPTIX MULTIFOCAL 8,60 +0,75 HI",LC,LC,LC,LC,LC,LC
1,TASY,209303,"AIR OPTIX MULTIFOCAL 8,60 +1,25 HI",LC,LC,LC,LC,LC,LC
